repo,commit_sha,full_message
AspNetCore.Docs,f98ec34d75659ce20b6e812dc17d62fd848dd441,Update CONTRIBUTING.md
AspNetCore.Docs,9d92fa855eee1c73c3a9913a520c6b0d99c447aa,Update README.md
AspNetCore.Docs,5380667b7d9121ada2201b472b62e5edeb0e4d5c,Update README.md
AspNetCore.Docs,8cf4e8771601189694f85082cdeba0f4bf251890,Update README.md (#27227)
AspNetCore.Docs,d646fabe157209750f5c390b79310b90debba103,Broken link update (#27226)
AspNetCore.Docs,167954e87d853694b21c486544279c98e261e514,"[BULK UPDATE] DocuTune - Rebranding links (#27044)

* [BULK UPDATE] DocuTune - Rebranding links

* Update cascading-values-and-parameters.md"
AspNetCore.Docs,ed142fee1306cd96b2e5f62f3a1c6fa71c599278,[BULK UPDATE] DocuTune - Fix build validation issues: docs-link-absolute (#26850)
AspNetCore.Docs,9933514ed036f1a1cc9267e72db8084957efbfa0,"Fix broken link (#25693)

Co-authored-by: Kirk Larkin <6025110+serpent5@users.noreply.github.com>"
AspNetCore.Docs,0adb8286bad41b4cb428930deaec7521cd6725ed,"Added info about relative line-numbers in csharp-regions   (#24668)

* Highlighted the changes.

Added the highlight query when displaying code block with the line numbers relative to that region (i,e. FinalSnippet).

* Added line number range 

Instead of distinct line number added line number range.

* Update aspnetcore/includes/RP-MVC/validation-net6.md

* Added info about relative line no. in regions.

* chore: added missing parentheses

* Updates

* Updates

* Updates

* Updates

* Updates

Co-authored-by: Kirk Larkin <6025110+serpent5@users.noreply.github.com>
Co-authored-by: Luke Latham <1622880+guardrex@users.noreply.github.com>"
AspNetCore.Docs,62396cb41152d1df14e9a2ecbc5e2e913e25cc5b,"Wording change (""unsuitable"") (#23429)

* Wording change (""unsuitable"")

* Updates"
AspNetCore.Docs,09e3573c75f8cefb7d630d1c93e75df5167710ba,Finish default branch renaming work
AspNetCore.Docs,17f7e49d7ae2ff0ab3ffa295963643ecd56d89e0,Update CONTRIBUTING.md (#21498)
AspNetCore.Docs,51c2f9c911fe180ee24a035f334de0265cbf9442,Update README.md (#20292)
AspNetCore.Docs,a5d61bb80cf6d6ef65c3ad33e52ce7cd6fe086ee,Merge pull request #19043 from dotnet/master
AspNetCore.Docs,330aa7a57edb9e77eb1337b44ec8d86618966d6d,Patch Blazor cofiguration example (#19030)
Chart.js,334fdf7968ac7a7c6e826f80cce086d09583c6f5,Update LICENSE.md year (#11762)
Chart.js,c57feead3a25b0fdf1445fceec953516e035357b,Switch to discord (#11318)
Chart.js,60227da6694dae08ef9afe1d452881410044e0f9,"Update slack link (#11301)

* Update slack link

* Fix build"
Chart.js,43abacbae5254eb806993624fca6280ab3987af3,Remove meetup banner (#11093)
Chart.js,073a97e3ee576f04a5a4df66d17c3e4dbbc987c9,"Update banner (#11057)

* Update banner

* Update

* Add width"
Chart.js,300e2119d8a9d2ac87e7dd25aaf2ef98aebc731e,chore: Add Chart.js meetup announcement to README (#11043)
Chart.js,26f711df81d1cda917842f261b3b359f636eefad,"Revert ""chore: Add Product Hunt button (temporarily) (#10980)"" (#10988)

This reverts commit 2810bbc6fa605e1eedf27486f0443841772446ae."
Chart.js,1fddec40ec3a60f01cc9473c4f68f32d9b3e905a,fix (#10990)
Chart.js,2810bbc6fa605e1eedf27486f0443841772446ae,chore: Add Product Hunt button (temporarily) (#10980)
Chart.js,acfb981ba345de59277af4104075ed34c01e4b65,Update Slack link (#10976)
Chart.js,c0fe7f9b0535b284c064ca964d42e573a2fd9f99,"Remove V3 support, update readme (#10872)"
Chart.js,c694d9769071519019272920a0683c35141c1203,Fix Stack Overflow tag: chart.js (#10520)
Chart.js,c80b1450f55189a03bf3781e04559eb9b68f2129,"update link to license and bump license year (#10156)

* update link to license and bump license year
* another license year bump"
Chart.js,1199415e257d2feacfb8d50198f32382c2dee0db,"Added hyperlink on Chart.js LOGO (#9741)

Inserted a hyperlink on chart.js logo 
So that users can easily be redirected to the HOME PAGE of the web application"
Chart.js,f3a82929d029b11f3a6b6a115996be2a400cf5a6,linked LICENSE.md to README (#9747)
Chart.js,eb1e82c9813fbfccd86f4e4b424e768332654bd9,Update old codepen links to ones for v3 (#9619)
Chart.js,3212124e9dedbff66a554b2e827f78eb36ee698e,Fix broken guidelines url in PR template (#9228)
Chart.js,73a5ec3ea175403577ec522b93d743e445fdd2f7,Added v2 to issue template as not supported and change links in readme to v3 versions (#8693)
Chart.js,38bd974c5a2ac8d5a827dbae55099c8791ca3135,Contributing link show 404 error page cause by wrong url (#8774)
Chart.js,180f1b941e61884ab3cdabf3f39c927d9d1c753a,"Docs/licence year update (#8671)

* Update license year

* Update docusaurus.config.js

update license year

* Update LICENSE.md"
Chart.js,ba99c4185cc6e1658518e01963ca871fe0235625,"Add markdown linting, fix errors (#8449)"
Chart.js,e63beb8c6da12fe1ae0666bb0a1dea7d9c77629a,"Add note about v3 dev code in readme (#8283)

* Add note about v3 dev code in readme

* Adjust note based on feedback"
Chart.js,ff354cc5b8245049887f24cf855d19d928d6d8de,"Remove release branch workflow (#7827)

* GitHub actions uses locked install for CI
* Add initial GitHub action to publish to NPM
* Detect the NPM tag (latest vs next) depending on the git tag
* Deploy docs from releases & master commits
* Remove Travis CI
* Update repo badge to use actions status
* Remove Travis env vars and update docs-config to take a parameter
* Update publish script regex to match other scripts
* Deploy docs action only runs in one spot"
Chart.js,fafbfae8209f9b29638ca085f39e7286e862801a,Update pull request template contributing docs link (#7765)
Chart.js,c9573bc1e4c3c00383742bf15764fd0e245cf885,Refer to master documentation for Contributing (#7733)
DefinitelyTyped,07a3c6155f202ab4f104f511bec78abd189c24f8,fix: update build status links in multiple language README files (#72601)
DefinitelyTyped,e8db01511779bd1a6cfd2e7dc9a599cfdf6ecdc5,🤖 Merge PR #72342 [README] Remove `base64-js` mention from README by @MysteryBlokHed
DefinitelyTyped,d64723783b9beaf5c1321a02706342147edd6768,"🤖 Merge PR #71826 Rewrite cloning instructions to suggest blobless clone only, not sparse by @jakebailey"
DefinitelyTyped,ddc56a479b74186806ea2f08d9fc890e84594086,🤖 Merge PR #71284 Fix link to Pull Request Status Board in readme by @FloEdelmann
DefinitelyTyped,fe615b164a10777254e0bead1a3d3c45ea663327,"🤖 Merge PR #70851 Add peerDependencies blurb to README by @jakebailey

Co-authored-by: Andrew Branch <andrewbranch@users.noreply.github.com>"
DefinitelyTyped,035f06858f6085b15ae70cab67187bbcf40f14ce,🤖 Merge PR #70524 DefinitelyTyped[patch]: Update readme to properly render SVG by @bracesproul
DefinitelyTyped,49fc6c0f73fd2bbc5fee503069497e25f61947ed,Change mergebot links in README (#69968)
DefinitelyTyped,5ebe98afa6ecb3f54649f75636aa4bbd67dedce3,Move watchdogs to GHA (#69797)
DefinitelyTyped,07d0f8398291ab9c5c896526c94225883e0bbe28,Fix more mentions of header in README (#69443)
DefinitelyTyped,319b01f03967307a2f74b41c84014ca632714bc8,"🤖 Merge PR #68927 Test all versions of TS in nightly, not just latest by @jakebailey"
DefinitelyTyped,9e4e418342c4e6b39c501d4f477f1f0db91b183c,🤖 Merge PR #68866 docs: change dts-gen link to current location by @IncognitaDev
DefinitelyTyped,3c747d3c73f5397c5cd836173acc435c3c791f01,🤖 Merge PR #68786 Document nonNpm=conflict in README by @jakebailey
DefinitelyTyped,284a03f0cffaabc4891aabe25ac377f477a54dc7,🤖 Merge PR #68588 Format markdown with dprint by @jakebailey
DefinitelyTyped,cbc2a292489ab17ac3a83cdcbdd2a5dc460fa88d,🤖 Merge PR #68552 Document how to install @scoped typings by @stevage
DefinitelyTyped,3d5a67903faa059e45778dab4a9572c0c3e0cbc3,🤖 Merge PR #68430 Remove --depth from git clone instructions in README by @jakebailey
DefinitelyTyped,6d0e970598392a8c1c62019150e4f197fadf301c,"Shard testing, do more on GitHub Actions (#68386)"
DefinitelyTyped,958ebc6a272d19ae5242d7d04077fed841117963,"Add @arethetypeswrong/cli and config (#67306)

* Add @arethetypeswrong/cli and config

* Remove dependency

* Update README

* Update attw failingPackages

* Add ""nonNpm"": ""conflict"" for packages that were ""nonNpm"": true

* Add nonNpm: true where needed

* Update attw.json, remove npm-naming disables

* Update README.md

Co-authored-by: Nathan Shively-Sanders <293473+sandersn@users.noreply.github.com>

* Remove more npm-naming references, add new attw failures

---------

Co-authored-by: Nathan Shively-Sanders <293473+sandersn@users.noreply.github.com>"
DefinitelyTyped,cc56549c044cc710dc677925bd161cf3edb56edd,"🤖 Merge PR #68177 [README.md] Add note about breaking type changes without major updates by @benasher44

* Add note about breaking type changes without major updates

* update"
DefinitelyTyped,37e02b2840a15167e39e4662e77789a93d538035,"🤖 Merge PR #68187 Set up optional pre-commit format hook with husky and lint-staged by @tpluscode

* style: optional formatting on pre-commit hook

* explicit lint-staged config (re lint-staged/lint-staged#1383)

* docs: mention checking out hooks, + tweak hook command

* chore: remove config (moved to .lintstagedrc.jsn)

* refactor: lint-staged everything

* Update README.md

Co-authored-by: Jake Bailey <5341706+jakebailey@users.noreply.github.com>

* docs: move git hook section

---------

Co-authored-by: Jake Bailey <5341706+jakebailey@users.noreply.github.com>"
DefinitelyTyped,7b9745221361573f4c8c71afdda44bd914132b91,"🤖 Merge PR #68084 chore: update PR template by @tpluscode

Have it match the new monorepo reality"
DefinitelyTyped,1e70c4ed7ca2fa2fa3b950511c8d8e3feee3e5da,Synchronise with latest (#67911)
DefinitelyTyped,dcb9f99e80cfe63e201366db7d4a41b58b7ce519,"Remove tslint mentions from README (#67891)

* Remove tslint mentions from README

I missed this when I deleted tslint from the rest of the repo.

I'm not sure whether I'll send changes to other languages since there
are non-delete edits that I made in English, and I barely read most of
these languages, let alone write them.

* Attempt to update other README languages

I'm least sure of the Chinese edit.
Many of the other translations already have English for the tslint
section anyway, because they've never been translated.

* fix broken markdown links"
DefinitelyTyped,fbc33dd3590c31aa653079082d22500c9a191e65,"Transition packages over to a fixed declaration file glob, npmignore, removing OTHER_FILES (#67332)"
DefinitelyTyped,d4015df85c2ff411ec7bd8e4666522d266824874,"Make README mention .9999, not .99999 (#67253)"
DefinitelyTyped,6648dc9944e90e5bf016d31026fbf97cf88a5788,🤖 Merge PR #67223 fixed typo error in README.md by @vivekBoii
DefinitelyTyped,5a4749a24a9cee87700273f9a0e7be4047ca1478,"🤖 Merge PR #67193 Minor Grammatical correction in documentation by @AdityaK60

Signed-off-by: Aditya Kumar <aditya.kumar60@infosys.com>"
DefinitelyTyped,64e2e4b4a3c61053316d2e5bf5ee66d790730f40,"Fix README to mention owners, not contributors"
DefinitelyTyped,d939971b1c2a4398ba192cda5b63b9f2dd324158,"Make mention of git cleaning and reinstalling in readme

Closes #67113"
DefinitelyTyped,02c90980365b819836047b6ed18bd7d1923021c4,🤖 Merge PR #66942 Remove prose from READMEs which hardcode the minimum supported TS by @jakebailey
DefinitelyTyped,451dc8fc19383bc12af59522020e571957f1684e,"Convert the repo into a pnpm monorepo (#67085)

Co-authored-by: Andrew Branch <andrew@wheream.io>
Co-authored-by: Nathan Shively-Sanders <293473+sandersn@users.noreply.github.com>"
DefinitelyTyped,05ed0231d13481f6be8e3ff8d476d4c6c652b757,"Added dprint config and commit-on-master task (#66235)

Co-authored-by: Piotr Błażejewicz (Peter Blazejewicz) <peterblazejewicz@users.noreply.github.com>
Co-authored-by: Jake Bailey <5341706+jakebailey@users.noreply.github.com>"
DefinitelyTyped,125daa2467383a9c7ae1753731bb67dbe63a7094,🤖 Merge PR #66817 docs(zh): fix typo by @uiolee
DefinitelyTyped,fbbc40d1b123299ebf25d0625ee6dcf78b7486c3,"chore: migrate module keyword to namespace (#66292)

Co-authored-by: Nathan Shively-Sanders <293473+sandersn@users.noreply.github.com>"
DefinitelyTyped,f4d38d9722c4e86c601f945c93bf79abe7d2fe2f,"docs: add doc french (#66193)

* docs: add doc french

* docs: resolve comments to add doc french readme"
DefinitelyTyped,3ef75a9857c3bdd94b4712b580c9ed840b596fab,🤖 Merge PR #66262 Sync Chinese Translation by @taozhiyu
DefinitelyTyped,ba23cdbeb58ca9aac0950996715f5215fa4ecb7d,"README FAQ entry: no type-only packages (#66104)

* README FAQ entry: no type-only packages

* Address PR comments"
DefinitelyTyped,23abe4788a5387a50a5c0afbb99acaecbe69870a,"🤖 Merge PR #65798 Fix prettier command to not expand in shell by @mstoykov

* Fix prettier command to not expand in shell

The previous prettier command was expanded by the shell used which might differ from how it will be expanded by prettier.

Which effectively means it won't go through all subdirectories.

* Make the changes in the translated README files"
DefinitelyTyped,a89696174f14bc50616a97543322a49a7e0a5cfd,Create Security Policy (#65382)
DefinitelyTyped,2d512539e20a785e8b5d6f6413ccd3b5e242cbd4,docs: add details of the history of DT (#65059)
DefinitelyTyped,5c6e1a823dbf990721c93994e4207fab000f42df,"🤖 Merge PR #64860 chore: remove react-router & react-router-dom by @43081j

* chore (react-router-dom): remove redundant types

* chore (react-router): remove redundant types

* fix: add react-router dependency

* fix: bump a bunch of stuff to ts4.5

* fix: bump react-router-navigation to ts4.5

* fix: bump redux-auth-wrapper to ts4.5

* fix: move a bunch of dependents back to old types

* fix: revert some ts4.5 bumps

* fix: pin redux-router dep to 2.x

* chore: update readme links

* chore: drop notneeded changes"
DefinitelyTyped,0525685fe3eb6dccef480e61ea641cb404ca1aa1,"🤖 Merge PR #64942 Update README.md by @Fiewor

Remove link to page that is ""no longer necessary"" and add updated information from this [changelog](https://github.blog/changelog/2020-12-16-npm-displays-packages-with-bundled-typescript-declarations/)"
DefinitelyTyped,a3660025e79c1bbcb5a75d103527dad64052c5c2,"[README]: Improve Chinese translation (#64116)

* [README]: rename zh.md to zh-Hans.md

Using zh is ambiguous because it does not tell it is Simplified
Chinese or Traditional Chinese. As this translation is actually
in Simplified Chinese, so rename it.

* [README]: improve Simplified Chinese translation

* [README]: adopt translation from current zh docs

PR #63899 updated the Chinese translation and was merged. I took
a look at their work and adopted some of their tranlations that
are better than mine.

* [README]: Update links in es.md and pt.md

Also change title of link to zh-Hans.md from ""Chinese"" to ""Simplified
Chinese"".

* [README]: Sync with latest English readme"
DefinitelyTyped,e30749102befd22bc4ee86925a2e55c8540dce20,"Add basic ESM instructions to README (#64361)

* Add basic ESM instructions to README

* Add sentence about `exports` as well"
DefinitelyTyped,4f979d7eec9bd2a0f122f2db9111f55986d4af6d,"docs(README.md): correct/clarify how to reference scoped packages (#64186)

Original documentation suggested `paths` at the root of tsconfig, which led to confusion like #64173. This clarifies/corrects the documentation.

fix #64185"
DefinitelyTyped,c011db55ee5eede44253b24d5095744cc8646337,"🤖 Merge PR #63268 Point to updated (not deprecated) documentation for functions link by @esetnik

* Point to updated (not deprecated) documentation for functions link

* resolve feedback"
DefinitelyTyped,197ccb19db0d28147fe5fa7022c189bcdcade796,Update README with new support window (#62046)
DefinitelyTyped,8905bd2bf3557c729f2435d9e224f22984c4ac78,🤖 Merge PR #61724 Fix link to `dtslint` repo by @BendingBender
DefinitelyTyped,aeb3a3efe0554e4f30a7281c04f4ff8883a3603e,"Fill out root eslintrc and update README (#61051)

* Add typescript-eslint support in DT root .eslintrc.json

In preparation for turning on the first two eslint rules

* Update English README

* Fix eslintrcjson link

Thanks Markdown link checker!"
DefinitelyTyped,0d302353cd161804d1904991e6e617d3066962dd,Replace $ExpectError with @ts-expect-error (#60697)
DefinitelyTyped,978fb8db63434e6be3a7b0812b64c203395b307d,"[DT Infra] Update supported versions mentioned in README (#60896)

* [DT Infra] Update supported versions mentioned in README

* Change latest version from 3.9 to 4.0"
DefinitelyTyped,613d8dc8cdaede678991406e529728d8859e3db5,"🤖 Merge PR #60816 Remove `git log --follow` from FAQ by @nickmccurdy

GitHub now shows a link to the history of the old file name, making this suggestion obsolete."
DefinitelyTyped,b460dee1ec8aa89fd7f78c1145cb4987b73f7e0f,"🤖 Merge PR #60558 Changed README.md to help non english speakers find their language by @BjornTheProgrammer

* Update README.md

Changed the english README.md to not use english names for the language name, but instead in the native language.

* changed 汉语 to 中文 in README.md

The language link's name was updated to reflect the nuanced meaning of 汉语 and 中文.  @llwwbb committed on the Chinese translation should be ‘中文’ or '简体中文', and I agree with them. Although 汉语 and 中文 have nearly identical meanings, 中文 refers to the written and spoken language, while 汉语 mostly refers to the spoken language. I appreciate the comment @llwwbb.

* Changed language names to reflect docs.microsoft.com

the Microsoft docs have many languages listed within them,  so upon suggestion, the language names have been changed to reflect the probably more accurate definitions of Microsoft."
DefinitelyTyped,998fe1077af548a7c97fcee5f2057bdb04d3855c,🤖 Merge PR #59293 Fix link for currently requested definitions in README's by @MysteryBlokHed
DefinitelyTyped,c96fb11e07e1fd621cc9c78c641dd109fa2c8fc3,"docs: Update link to dtslint readme (#58952)

Co-authored-by: github/workflows/support-window.yml <bot@typescriptlang.org>"
DefinitelyTyped,730a0dc1b4e24966be9d59be6071587958074ecd,"Hack around remark-validate-link warnings (#58599)

It appears that `remark-validate-link` uses `hosted-git-info` to convert our GH permalink into a relative link (since it shares a prefix with our GH repo) and then warns that the relative link is dangling.  This change uses URL encoding to defeat the tool's simple prefix matching.

Filed #58598 to investigate a real solution."
DefinitelyTyped,e19bf902423ada9af70eb0ba64832ff937d3dfc5,Update dtslint/dt.json path (#58223)
DefinitelyTyped,a8ffdbaa838858b1a2081b7bf4107ee010dd66db,Update tslint instructions for PULL_REQUEST_TEMPLATE (#57492)
DefinitelyTyped,5b2201e9d82a57c029607748a6758400f089c732,Update README to remove 3.7 support (#57453)
DefinitelyTyped,0046516f11705e330261c0af859075d6d0eae6f1,"[README] Change diagram color in dark mode (#57360)

* [README] Change diagram color in dark mode

* [README] 🤖 Update support window diagram

https://github.com/jablko/DefinitelyTyped/actions/runs/1501218079

Co-authored-by: github/workflows/support-window.yml <bot@typescriptlang.org>"
DefinitelyTyped,643ede5658d60d5b97f61f5566ab92cf76fe3138,doc: fix typo in README.md (#57131)
DefinitelyTyped,141503320ef8e62ab9f9891d8cf52b722d83b79c,"[README] Add support window diagram (#55678)

* [README] Add support window diagram

* [README] 🤖 Update support window diagram

* Eliminate translations

* [README] 🤖 Update support window diagram

* Port from ggplot2 -> D3.js

* [README] 🤖 Update support window diagram

Co-authored-by: github/workflows/support-window.yml <bot@typescriptlang.org>"
DefinitelyTyped,e52ca4d6e353443d8e4dde86861f63c291695e09,[README] Rename README.cn.md to README.zh.md (#55694)
DefinitelyTyped,f039e62bb0776523f29054d9ee83924fe29c93a8,"[README] Replace invalid example links after removing ts3.6 support (#55744)

- https://github.com/DefinitelyTyped/DefinitelyTyped/pull/54895"
DefinitelyTyped,f43e4d162633f5be580016310dd5152b02c9f849,[README] Retire manual table of contents (#55625)
DefinitelyTyped,7664dd5eae62ddd24775a5b0b699bc0f781aa7a5,"🤖 Merge PR #55607 Links: use https for some urls by @imba-tjd

* Links: use https for some urls

* revert types/needle

* revert types/node

* revert angular

* Revert ""revert types/node""

This reverts commit 6df7e0f119ba415aecb0f70378d8f9ad6cb2712d."
DefinitelyTyped,92de432e84478f3875d460f14dcb575bbebd17b1,[README] Translate heading references (#55622)
DefinitelyTyped,faea45e5c5d5ac1c3ffc99ee0f4d7268ca274bd1,[cn] #53999 increase watchdog time limit in README (#55441)
DefinitelyTyped,418c40a2b79a9d9efb958c5f5446f6fabacadc20,"update(README): amend 'owners' section (#55397)

Add TL;DR with explicit intruction to not modify autogenerated
codeowners file.

Thanks!"
DefinitelyTyped,ff35f89bb002a7e35b5861778e7506e5f4c0d6c7,"Update README for 4.4 (#55416)

1. 3.6 is no longer supported.
2. 4.4 is supported until August 2023."
DefinitelyTyped,9aa6c3be1bfb9e56b7d26e8f6e2c7b9c786c6491,"readme: fix typo ""all"" twice (#55179)"
DefinitelyTyped,58809030d451d37f4f58f089d6b1f296101d994e,"increase watchdog time limit in README (#53999)

The period is now 30 minutes, so the time limit is now an hour and a
half.

I didn't edit any of the other READMEs because I don't write those
languages well enough."
DefinitelyTyped,d462e16a0c7ffc42b40cd99b19f2889b1e69aea7,🤖 Merge PR #53940 docs: fix links with question mark in cn/ja README by @MaikoTan
DefinitelyTyped,8fb5be013dbf630cac5dc00da1000dc566bafb64,"Move templates which should redirect folks to discussions (#53606)

* Move templates which should redirect folks to discussions

* Feedback"
DefinitelyTyped,d9bf5d6fa69852d48dc17d99216e0495f704940e,"Update README for TS 4.3 and 3.5 (#53461)

4.3 is now released and 3.5 is no longer supported."
DefinitelyTyped,87fc90f200ba138f1f2ab9932083a276b5b60c5b,"Readme update based on previous user-feedback (#53379)

* A polish pass on the readme

* Adds a 2nd polish pass

* Revises from feedback

* More feedback"
DefinitelyTyped,41dbae153ebe321afa9a3eff260c09f01efa80f9,Improve the new blurb (#52867)
DefinitelyTyped,e366eeba0e6f8ef99890e5fda046513364375ab0,"Add a subsection on esModuleInterop/allowSyntheticDefaultImports (#52865)

Curtesy of @andrewbranch; added as a section to link to at some point."
DefinitelyTyped,27ea2820590b8e0ed0829a8a4c574f2601e2674d,"update some Chinese translation (#52848)

* feat: update some cn translations

* feat: remove some out of date translations"
DefinitelyTyped,ed466bf06d5583ddf0ef492558ab2b68ed1eb39a,"Add Italian README (#52477)

* Update README.md

* Create README.It.md"
DefinitelyTyped,c29bf7f2b961b8f50210b4d71de23ec0d89b7601,README: update lowest supported TS version (#51982)
DefinitelyTyped,3e02e8294f69c0acf4e59ace7f7c5f01bd3faf08,"Partial clone instructions (#50807)

* Partial clone instructions

* Add depth, highlight git version

* Fix git version

* Fix links

* Minor changes

Co-authored-by: Orta <git@orta.io>"
DefinitelyTyped,b005fb7ccaa82e2a3bd78777f64e68acb1602f57,"[README] Correct Unicode slugs (#50583)

* [README] Correct Unicode slugs

* Don't cherry pick Flet/github-slugger#35"
DefinitelyTyped,3bdfa2070a161da4745fd440d899d62c51d0fb3d,🤖 Merge PR #49667 [README] Translate heading references by @jablko
DefinitelyTyped,384445a9702816dfa8d18581c8e55a3b3bf358aa,"Update deprecation schedule in README (#50561)

* Update deprecation schedule in README

* update missed text in Russian readme"
