repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
axios,57,34,23,0.5965,0.4035,"issue_number(32), fix_with_error_term(4), revert(1)",Update base with master (#4756)  * docs: updated code of conduct to the lates version of the contributors covenant  * do | Update base with master (#4755)  * docs: updated code of conduct to the lates version of the contributors covenant  * do | Updated README.md; (#4742)  Updated index.d.ts;  Co-authored-by: Jay <jasonsaayman@gmail.com>
azure-quickstart-templates,2,1,1,0.5,0.5,issue_number(1),Microsoft mandatory file (#12497)  Co-authored-by: microsoft-github-policy-service[bot] <77245923+microsoft-github-polic
bitcoin,20,7,13,0.35,0.65,"issue_number(6), fixes_issue(1), github_pr_url(1)",Squashed 'src/univalue/' changes from a44caf65fe..6c19d050a9  6c19d050a9 Merge bitcoin-core/univalue-subtree#33: Add get | Squashed 'src/secp256k1/' changes from 0559fc6e41..8746600eec  8746600eec Merge bitcoin-core/secp256k1#1093: hash: Make  | Squashed 'src/secp256k1/' changes from be8d9c262f..0559fc6e41  0559fc6e41 Merge bitcoin-core/secp256k1#988: Make signing
bootstrap,21,13,8,0.619,0.381,"issue_number(12), fix_with_error_term(2), revert(1)","Update CODE_OF_CONDUCT.md  I fixed a grammatical mistake. The word ""to making"" in line 3 has been changed to ""to make"". | Revert ""README: About release planning"" (#35923)  This reverts commit da9c007139eccffdb635ee7320160fb44701feed. | README.md: mention Netlify (#35683)  * README.md: mention Netlify  * Update README.md  Co-authored-by: Gaël Poupard <ffo"
core,4,4,0,1.0,0.0,issue_number(4),Adjust path to version info in Github issue template (#72431) | Update images (#71215) | Make review link exclude PRs with failing tests (#63373)  Co-authored-by: Joakim Sørensen <hi@ludeeus.dev>
d3,4,2,2,0.5,0.5,issue_number(2),"Updated API Reference Link in README.md (#3562)  The API Reference link at the top of README.md used ""master"" instead of | Adopt type: module. (#3506)  * remove Sublime project  * adopt type=module; update dependencies  * type: module  * GitHu"
darknet,3,0,3,0.0,1.0,,
django,38,34,4,0.8947,0.1053,"issue_number(34), fixes_issue(32), fix_with_error_term(1)",Fixed #32565 -- Moved internal URLResolver view-strings mapping to admindocs.  Moved the functionality of URLResolver._i | Fixed #32559 -- Added 'step_size’ to numeric form fields.  Co-authored-by: Jacob Rief <jacob.rief@uibk.ac.at> | Fixed #33622 -- Allowed customizing error messages for invalid number of forms.  Co-authored-by: Mariusz Felisiak <felis
dubbo,15,7,8,0.4667,0.5333,issue_number(7),"Merge 3.0.7-release and prepare for the next release (#9874) | 3.0.4 release (#9113)  * release 3.0.4  * update readme.md for version | on branch 3.0, fix issue #8611, use HTTPS (#8630)  * on branch 3.0, fix issue #8611, use HTTPS  * make CI rerun"
echarts,13,2,11,0.1538,0.8462,"issue_number(2), closes_issue(1)","docs: remove a broken link and update info in CONTRIBUTING.md. close #17088 | fix typos, clarify (#15512)  * Fix typos  * fix typos, clarify"
elasticsearch,23,19,4,0.8261,0.1739,"issue_number(19), fix_with_error_term(1)",Remove remaining single arg ParameterizedMessages (#86715)  This commit removes the remaining ParameterizedMessages that | Convert most single arg parameterized message to direct strings (#86649)  This commit converts most ParameterizedMessage | Remove Eclipse IDE contributor documentation (#84724)
electron,9,9,0,1.0,0.0,issue_number(9),Update china npmmirror (#33401)  Source: https://zhuanlan.zhihu.com/p/465424728 | docs: update Ubuntu version used for Linux prebuilt binaries (#33372) | docs: consolidate info docs (#32964)  * docs: consolidate info docs  * fill in table  * more newlines to admonitions  * 
erpnext,10,7,3,0.7,0.3,issue_number(7),"fix: Update links to Frappe Cloud (#30833) | chore: ""refactor"" readme (#30825)  [skip ci] | chore: Add ""Try on PWD"" button (#30817)"
etcd,24,3,21,0.125,0.875,"issue_number(2), github_issue_url(2), fix_with_error_term(1)","docs: fix broken links in README | Update Readme for Install etcd client v3 more visibility #13108  There are many developers on the web, confused by how t | Update Readme for install etcd client v3 more visibility #13108  There are many developers on the web, confused by how t"
express,61,22,39,0.3607,0.6393,"issue_number(22), closes_issue(20), fixes_issue(5)",Fix regression routing a large stack in a single route  fixes #4913 | Fix hanging on large stack of sync routes  fixes #4899 | Fix handling very large stacks of sync middleware  closes #4891
flask,4,0,4,0.0,1.0,,
flink,9,3,6,0.3333,0.6667,"closes_issue(2), issue_number(2), revert(1)","Revert ""[FLINK-25188][python][build] Support m1 chip.""  This reverts commit 7e9be789 | [FLINK-25188][python][build] Support m1 chip.  This closes #18769. | [FLINK-25461][python] Update net.sf.py4j:py4j dependency to 0.10.8.1  This closes #18209."
flutter,39,39,0,1.0,0.0,"issue_number(39), revert(5)","Use the maven-publish plugin to publish AAR files. (#101891) | Add more things to CONTRIBUTING.md (#101875)  * Add more things to CONTRIBUTING.md  * I forgot about QA! | Revert ""Use the maven-publish plugin to publish AAR files. (#101276)"" (#101827)  This reverts commit 2b0255f0d9f38f5671e"
framework,36,7,29,0.1944,0.8056,"issue_number(7), fix_with_error_term(3), revert(1)","fix a typo (#41498) | [9.x] Update changelog (#41303)  * [9.x] Update changelog  * [9.x] Update changelog  * Update CHANGELOG.md  Co-authored- | Revert ""Fix typos (#41191)"" (#41196)  This reverts commit dabef8ae8bf74e0720301beabb46236d4c2d1b86."
gitignore,4,0,4,0.0,1.0,,
go,25,10,15,0.4,0.6,"issue_number(10), fixes_issue(3)",A+C: add Jinzhu Zhang  Change-Id: I655095874a90fc3e390df5609e68f0e48a042fea GitHub-Last-Rev: 6d3199b4cfedf744f1485b119c8 | copyright: add Loongson into AUTHORS  Contributors to the loong64 port are:   Weining Lu <luweining@loongson.cn>   Lei W | A+C: change email of Ben Shi (individual CLA)  Change-Id: Icff75d5fbbeae7aa5003a848ea49b79ddde9933a GitHub-Last-Rev: 489
go-ethereum,15,15,0,1.0,0.0,"issue_number(15), fix_with_error_term(3)",AUTHORS: remove one more duplicate entry (#24950) | all: update license headers and AUTHORS from git history (#24947) | README.md: update Go min required version to 1.16 (#24713)
godot,16,0,16,0.0,1.0,,
grafana,91,91,0,1.0,0.0,"issue_number(91), fix_with_error_term(2), fixes_issue(1)",ReleaseNotes: Updated changelog and release notes for 9.0.0-beta1 (#49489) | ReleaseNotes: Updated changelog and release notes for 8.5.3 (#49275)  * ReleaseNotes: Updated changelog and release note | Chore: Introducing a Grafana HALL_OF_FAME.md (#45878)  Co-authored-by: Hugo Häggmark <hugo.haggmark@gmail.com> Co-author
grpc,62,56,6,0.9032,0.0968,"issue_number(56), fix_with_error_term(2)",MSVC 2015 -> 2017 (#29754)  * MSVC 2015 -> 2017  * Update by review | Fix pull request template (#29760) | repo manager: change to nicolasnoble (#29554)
guava,4,1,3,0.25,0.75,github_issue_url(1),"Remove claims that guava-android works under Java 7.  As of 31.0, it no longer does.  Relevant to https://github.com/goo"
homebrew-cask,8,8,0,1.0,0.0,issue_number(8),Update PULL_REQUEST_TEMPLATE.md (#122636)  It is worth considering adding the `--online` flag to the requested `brew aud | docs: fix README.md links to error_examples.md (#117535) | Update CONTRIBUTING.md (#117132)
html5-boilerplate,11,4,7,0.3636,0.6364,"issue_number(4), closes_issue(2)","""About this repo"" documentation (#2715)  * 1st pass at new documentation  closes #2652  * typos, wordsmithing...  And I  | Moving docs out of src and dist (#2655)  * Moving docs out of src and dist  * Changing links to doc | Proposal: Let's Replace Parcel With Webpack (#2641)  * Proposal: Let's Replace Parcel With Webpack  Closes #2487 and #24"
imgui,4,2,2,0.5,0.5,issue_number(2),"Docs: Update templates with link to Contributing guidelines. Add numerical version number in demo. Moved. (#5337) | Docs: creates CONTRIBUTING.md (#5337)  Copied from issue #2261 with small rework + added ""Copyright / Contributor Licens"
ionic-framework,67,11,56,0.1642,0.8358,"issue_number(11), resolves_issue(1)",chore(templates): clarify process for updating docs (#25286) | chore(): add correct changelog (#25117) | chore(template): clarify that issue should be a link in PR template (#24775)
java-design-patterns,44,44,0,1.0,0.0,"issue_number(44), fix_with_error_term(1)",docs: add arnabsen1729 as a contributor for code (#1986)  * docs: update README.md [skip ci]  * docs: update .all-contri | docs: add HattoriHenzo as a contributor for code (#1981)  * docs: update README.md [skip ci]  * docs: update .all-contri | docs: add ShivanshCharak as a contributor for code (#1958)  * docs: update README.md [skip ci]  * docs: update .all-cont
jekyll,85,82,3,0.9647,0.0353,issue_number(82),Update history to reflect merge of #9057 [ci skip] | Update history to reflect merge of #9045 [ci skip] | Update history to reflect merge of #9039 [ci skip]
jenkins,8,8,0,1.0,0.0,issue_number(8),Exchange issue tracker URL on PR template (#6478) | Update domain for issues.jenkins.io in PR template (#6477) | Upgrade build toolchain (#6432)
jquery,5,1,4,0.2,0.8,fix_with_error_term(1),Docs: update irc to Libera and fix LAMP dead link
juice-shop,32,3,29,0.0938,0.9062,"issue_number(3), resolves_issue(2)",fix IPs #1801 | Recommend shallow cloning of repository  (resolves #1774) | Recommend shallow cloning of repository  (resolves #1774)
kafka,10,10,0,1.0,0.0,"issue_number(10), fix_with_error_term(1)",KAFKA-13714: Fix cache flush position (#11926)  The caching store layers were passing down writes into lower store layer | MINOR: Clarify how to publish specific projects to the local repo (#11938)  The current README instruction for local pub | MINOR: Provide valid examples in README page. (#10259)  * MINOR: Provide valid examples in README page.  - `testMetadata
kubernetes,3,1,2,0.3333,0.6667,"github_issue_url(1), github_pr_url(1)",Remove `kind/design` from PR template  - Remove `kind/design` from PR template in lieu of https://github.com/kubernetes/
laravel,39,3,36,0.0769,0.9231,issue_number(3),Adds Laravel `v9.x` to changelog (#5803)  * Adds Laravel `v9.x` to changelog  * Update CHANGELOG.md  Co-authored-by: Tay | Added Romega Software to Sponsorships (#5721) | Add WebReinvent as a Sponsor (#5668)
markdown-here,1,0,1,0.0,1.0,,
material-ui,129,119,10,0.9225,0.0775,"issue_number(119), fix_with_error_term(1)",[docs] Fix navigation links (#32851) | [release] v5.8.1 (#32879) | [docs] New WAI-ARIA guidelines location (#32865)
metasploit-framework,6,1,5,0.1667,0.8333,fix_with_error_term(1),Fix up a typo in CONTRIBUTING.md
minimal-mistakes,44,7,37,0.1591,0.8409,"issue_number(7), fixes_issue(1), closes_issue(1)",Add Kiswahili translation (#3489)  * Add Kiswahili translation  * Add Kiswahli to README  * Add Kiswahili to documentati | Automatically close invalid PRs using GitHub Actions (#3313)  * Try auto-closing bad PRs  * Include empty PR body as wel | Making verbiage consistent w/current _config.yml (#3180)  The plugin in question comes by-default listed in _config.yml 
moby,5,0,5,0.0,1.0,,
mybatis-3,2,0,2,0.0,1.0,,
netty,11,9,2,0.8182,0.1818,"issue_number(9), closes_issue(1), fix_with_error_term(1)",AdoptOpenJDK has moved to different site (#12148)  Motivation: AdoptOpenJDK has moved to https://adoptium.net/. So we sh | Link to discord server in readme (#12079)  Closes #12071 | Fix link in README (#364)
nixpkgs,33,3,30,0.0909,0.9091,"github_pr_url(1), issue_number(1), fix_with_error_term(1)","README: white logo for dark mode  white logo was approved in https://github.com/NixOS/nixos-artwork/pull/80 | .github/PULL_REQUEST_TEMPLATE.md, CONTRIBUTING.md: 21.11 -> 22.05 (#147977)  * .github/PULL_REQUEST_TEMPLATE.md: 21.11 - | doc: fix typo and wording in pull request template"
node,311,311,0,1.0,0.0,"github_pr_url(310), github_issue_url(28), fix_with_error_term(4)",meta: update AUTHORS  PR-URL: https://github.com/nodejs/node/pull/43231 Reviewed-By: Tobias Nießen <tniessen@tnie.de> Re | doc: make minor adjustments  PR-URL: https://github.com/nodejs/node/pull/43175 Reviewed-By: Antoine du Hamel <duhamelant | tools: refactor update-authors.js to ESM  PR-URL: https://github.com/nodejs/node/pull/43098 Reviewed-By: Antoine du Hame
numpy,14,2,12,0.1429,0.8571,"github_pr_url(1), fixes_issue(1), issue_number(1)",Update teams URL  See https://github.com/numpy/numpy.org/pull/510 | Update README.md  Fixes #20644
ohmyzsh,10,6,4,0.6,0.4,"issue_number(6), fix_with_error_term(1)",chore: minor documentation tweaks (#10853) | docs: add Table of Contents to README (#10766)  Co-authored-by: Mohan Sha <mohansha@outlook.com> | docs(README): Document .pre-oh-my-zsh (#10315)
opencv,3,0,3,0.0,1.0,,
openssl,5,5,0,1.0,0.0,"github_pr_url(5), fix_with_error_term(2)",Fix broken link to coding-style.html  Reviewed-by: Richard Levitte <levitte@openssl.org> Reviewed-by: David von Oheimb < | README: add missing link to OpenSSL 3.0 manual pages  Reviewed-by: Tomas Mraz <tomas@openssl.org> Reviewed-by: Richard L | README: add link to migration_guide manual page  which replaces the link to the  OpenSSL 3.0 Wiki.  Reviewed-by: Tomas M
pandas,10,10,0,1.0,0.0,"issue_number(10), fix_with_error_term(1)",CI: Move 32 bit Linux build to GHA (#47020) | DOC: Fixed broken link to the build from source docs in the README. (#46028) | DOC: Improve pull request template and contributing_codebase.rst (#45709)  * DOC: Improve pull request template and cont
pdf.js,3,0,3,0.0,1.0,,
protobuf,11,4,7,0.3636,0.6364,"issue_number(3), fix_with_error_term(1)",Remove the JavaScript implementation (#9874)  This implementation is about to be split out into a separate Git repo. | Match service argument names to abstract interface (#9418)  The base class/documentation suggest that the argument names | document the kinds of patches the repo is open to (#8900)  * document the kinds of patches the repo is open to
qmk_firmware,6,2,4,0.3333,0.6667,issue_number(2),Remove more unused files (#14135) | [Core] [Docs] Remove travis-ci references (#13916)
rails,11,1,10,0.0909,0.9091,fix_with_error_term(1),Fix broken links in README.md
react,15,7,8,0.4667,0.5333,"issue_number(7), fix_with_error_term(1)",Changelog for 18.1 (#24411)  * 1810-changelog  * Update CHANGELOG.md  Co-authored-by: Strek <ssharishkumar@gmail.com>  * | Update Example render for React v18 (#24259) | Update CHANGELOG.md (#24206)
react-native,22,18,4,0.8182,0.1818,"issue_number(17), github_pr_url(17), github_issue_url(2)",Update changelog for 0.68.2 (#33790)  Summary: Update changelog for 0.68.2  ## Changelog [Internal] - Update changelog f | Update changelog for 0.68.1 (#33630)  Summary: Update changelog for 0.68.1  ## Changelog  <!-- Help reviewers and the re | Changelog for 0.68 (#32993)  Summary: Adds changelog for 0.68  ## Changelog  [Internal][Changed] - Add changelog for 0.6
react-router,112,70,42,0.625,0.375,"issue_number(70), fix_with_error_term(6), closes_issue(2)",fix: resolveTo should not mutate the provided pathname (#8839) | docs: Add info about changes in matchPath() to upgrading/v5 guide (#8894)  * Add info about changes in matchPath() to up | Update overview.md (#8892)  * Update overview.md  * Update contributors.yml
redis,8,6,2,0.75,0.25,"issue_number(6), fix_with_error_term(2), github_pr_url(1)",Update security page with supported versions. (#10712) | Squashed 'deps/hiredis/' changes from 00272d669..f8de9a4bd  f8de9a4bd Merge pull request #1046 from redis/rockylinux-ci  | Command table: Sorted subcommands (#9951)  Sort the sub-commands so that every time we execute the script it generates t
reveal.js,11,0,11,0.0,1.0,,
rust,338,40,298,0.1183,0.8817,"issue_number(26), fix_with_error_term(9), closes_issue(4)",New lint `no_effect_replace`  Closes #1595  changelog: Add no_effect_replace lint. | Suggest -Zunpretty=ast-tree instead of -Zast-json  -Zast-json is being removed shortly: https://github.com/rust-lang/rus | adds lint logic and test for bytes_count_to_len  formats code with  fixes single match clippy error to replace with if l
scikit-learn,23,21,2,0.913,0.087,"issue_number(21), fix_with_error_term(1)",DOC Update testing section url in main README (#23435) | CI Use lock files for CircleCI doc builds (#23429) | MAINT Bump versions to match oldest-supported-numpy (#22674)
scrapy,3,2,1,0.6667,0.3333,issue_number(2),Update Logo in README.rst (#5258) | Add FAQ to code of Conduct (#5177)  * added to CODE_OF_CONDUCT.md to include link to FAQ about the code of conduct  * ad
shadowsocks-android,3,0,3,0.0,1.0,,
socket.io,73,11,62,0.1507,0.8493,"github_issue_url(6), issue_number(5), github_pr_url(1)",docs: add test suite for checking server compliance  Related: https://github.com/socketio/socket.io-protocol/issues/14 | docs: add test suite for checking server compliance  Related: https://github.com/socketio/socket.io-protocol/issues/14 | docs: remove broken badges  Related: https://github.com/socketio/socket.io/issues/4242
spark,8,8,0,1.0,0.0,"closes_issue(8), issue_number(8)",[MINOR][DOCS] Make code blocks pretty in README.md  ### What changes were proposed in this pull request?  This PR propos | [SPARK-37741][INFRA][DOCS] Remove Jenkins badge in README.md  ### What changes were proposed in this pull request?  Jenk | [SPARK-37080][INFRA] Add benchmark tool guide in pull request template  ### What changes were proposed in this pull requ
spring-boot,7,0,7,0.0,1.0,,
spring-framework,4,0,4,0.0,1.0,,
symfony,27,1,26,0.037,0.963,fix_with_error_term(1),Fix typo in sponsor name  Signed-off-by: Johan M. von Behren <johan@vonbehren.eu>
terraform,82,9,73,0.1098,0.8902,"issue_number(8), revert(1), fix_with_error_term(1)",Update CHANGELOG.md  Changelog for #29354 | Changelog for #30936 | updating to include #30891
three.js,17,6,11,0.3529,0.6471,issue_number(6),Update CONTRIBUTING.md with additional test installation instrucitons (#23963)  * Update test dependency installation in | docs: Change Discord link on README (#23378)  now it's directed to #welcome instead of #general | README.md: HTTP => HTTPS (#23248)
vscode,10,5,5,0.5,0.5,"issue_number(3), fix_with_error_term(2), references_issue(1)",Add links to open in Remote - Containers (#146073) | Change click-here link in contributing doc  Ref #140059 | fix typo
youtube-dl,7,2,5,0.2857,0.7143,"issue_number(2), closes_issue(1)",[Readme] Clarified extractor naming (#29799)  * Exported usable extractors must be named `xxxxIE`  Co-authored-by: dirkf | [README.md] Update MSVC 2010 redist URL (closes #29222)
zxing,4,3,1,0.75,0.25,issue_number(3),README.md: update description of nu-book c++ port (#1521)  * README.md: update description of nu-book c++ port  * README | Update README.md: Add SCodes Qt/Qml wrapper library link (#1518) | Update README.md (#1485)  Added BoofCV to related third-party open source projects
