repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
axios,450,327,123,0.7267,0.2733,"issue_number(324), fix_with_error_term(21), fixes_issue(8)",chore: remove openspec (#10958)  * fix(http): preserve TLS options for proxy tunnels  * chore: remove openspec  * chore: | fix: AxiosHeaders `toJSON()` return types (#10956)  * fix(types): fix AxiosHeaders `toJSON` types;  * Apply suggestion f | chore: remove sponsor (#10955)
azure-quickstart-templates,57,10,47,0.1754,0.8246,"fix_with_error_term(6), issue_number(3), references_issue(1)",All readmes (#12580)  * linting and yaml  * linting and yaml  * script updates  Co-authored-by: azure-quickstart-templat | Microsoft mandatory file (#12497)  Co-authored-by: microsoft-github-policy-service[bot] <77245923+microsoft-github-polic | Update README.md  Fix broken test/README.md hyperlink
bitcoin,155,47,108,0.3032,0.6968,"issue_number(44), fix_with_error_term(14), fixes_issue(3)",Squashed 'src/secp256k1/' changes from d543c0d917..14e56970cb  14e56970cb Merge bitcoin-core/secp256k1#1794: ecmult: Use | Squashed 'src/leveldb/' changes from aba469ad6a..cad64b151d  cad64b151d Merge bitcoin-core/leveldb-subtree#57: doc: fix  | Squashed 'src/secp256k1/' changes from b9313c6e1a..d543c0d917  d543c0d917 Merge bitcoin-core/secp256k1#1734: Introduce (
bootstrap,229,144,85,0.6288,0.3712,"issue_number(139), fix_with_error_term(9), revert(2)",Fix link in CONTRIBUTING.md regarding reactions (#42207)  Co-authored-by: Julien Déramond <juderamond@gmail.com> | Bump year to 2026 (#42208) | Release v5.3.8 (#41669)  * Bump version  * Run dist  * Unrelated new docs error
core,91,77,14,0.8462,0.1538,"issue_number(77), fix_with_error_term(2), fixes_issue(2)",Always require diff for dependency bumps (#161633) | Clarify contributor responsibility when using AI-generated code (#152379) | Update contributing guide links (#150159)  Co-authored-by: Joost Lekkerkerker <joostlek@outlook.com>
d3,52,6,46,0.1154,0.8846,"issue_number(6), github_issue_url(1), closes_issue(1)","docs: Incorrect alt text copied from the Observable Framework repository; it should describe D3 downloads. (#4122) | restructure README, redirect API (#3776)  * restructure README, redirect API https://github.com/d3/d3/issues/3775  * Upd | Updated API Reference Link in README.md (#3562)  The API Reference link at the top of README.md used ""master"" instead of"
darknet,21,0,21,0.0,1.0,,
django,395,353,42,0.8937,0.1063,"issue_number(353), fixes_issue(335), fix_with_error_term(16)",Fixed #37045 -- Renamed savepoint() to savepoint_create().  This makes the name consistent with the `savepoint_commit` a | Fixed #37096 -- Fixed test_invalid_choice_db_option on Python 3.14.5+. | Fixed #27825 -- Doc'd that setting model fields does not convert types.  Co-authored-by: Jacob Walls <jacobtylerwalls@gm
dotfiles,7,4,3,0.5714,0.4286,"issue_number(4), closes_issue(2)",readme: fix link to lri’s old notes  Issue: #943 | README: Fix link (#902) | README: Update URLs  Closes #802.
dubbo,186,104,82,0.5591,0.4409,"issue_number(102), fix_with_error_term(12), fixes_issue(4)",docs: Add 3.3.6 version highlights to README (#15772) | Update README.md (#15525) | Readme Update  (#15394)  * Improved and Better README.md file  * Testing Some other README.md version  * Final change fo
echarts,142,28,114,0.1972,0.8028,"issue_number(24), fix_with_error_term(4), fixes_issue(2)",chore: Sync the modification of #21448 to release. | docs: fix a lot of grammatical errors in CONTRIBUTING.md (#18244)  * Made some grammatical changes in the Readme.md File | chore: start a local server for testing when run dev #17868 (#17882)
elasticsearch,219,182,37,0.8311,0.1689,"issue_number(181), closes_issue(10), fix_with_error_term(8)",Docs: clarify test fixtures guidance (#142778)  ## Summary - Clarifies when to prefer Gradle `java-test-fixtures` vs `el | [Gradle] Cleanup on build logic integration testing and build documentation  (#142614)  - Update the AGENT.md file and B | Fix typos in the docs (#142687)  * Fix typos in the docs  * Update docs/reference/elasticsearch/index-lifecycle-actions/
electron,158,83,75,0.5253,0.4747,"issue_number(81), fix_with_error_term(6), github_pr_url(2)","chore: add AI tool policy to CONTRIBUTING.md & update PR template (#50451)  * chore: update PR template and add AI tool  | ci: auto close PRs that do not fill out the required template (#50348) | chore: add ""I have built and tested this PR"" box to PR template (#49434)"
erpnext,90,39,51,0.4333,0.5667,"issue_number(38), fix_with_error_term(4), revert(1)",Revise CONTRIBUTING.md for clarity and formatting (#54739)  Updated the contributing guidelines for clarity and consiste | fix: update frappe docker badge and link (#54702)  * fix: update frappe docker badge and link  * remove pwd link | fix(readme): correct HTML issues and improve accessibility (#54267)  - Fix invalid width attribute (80xp → 80px) - Remov
etcd,229,27,202,0.1179,0.8821,"issue_number(11), fix_with_error_term(9), github_issue_url(8)",readme: Fix broken docs link and add new ones  The current links point to the old v3.3 docs which aren't relevant anymor | docs(contributing): fix links and build tool list  * Fix a couple of broken links related to code styling and linting *  | Add fuweid as reviewer  REF: #16650  Signed-off-by: Wei Fu <fuweid89@gmail.com>
express,387,177,210,0.4574,0.5426,"issue_number(174), closes_issue(81), fixes_issue(18)",fixed typo in history.md (#7191) | docs: update npm install docs URL in Readme.md (#7159)  The link for the npm install command pointed to the old/broken U | docs: remove dead link from Readme (#7136)  * docs: remove dead link for import-brain  * Update Readme.md  Co-authored-b
flask,87,18,69,0.2069,0.7931,"issue_number(15), fix_with_error_term(3), fixes_issue(3)",update project files (#5457)  * update pre-commit hook * upgrade pip with venv * update description and version * show u | fix typo | Add a devcontainer configuration (#4969)
flink,77,39,38,0.5065,0.4935,"issue_number(37), closes_issue(32), revert(2)",[FLINK-38945][docs][FLIP-561] Restructure Flink documentation (#27541)  * [FLINK-38945][docs] Move pages to new location | [hotfix][NOTICE] Update copyright NOTICE year to 2026 (#27380) | [hotfix] Update copyright NOTICE year to 2025 (#26413)
flutter,376,369,7,0.9814,0.0186,"issue_number(368), github_pr_url(26), fix_with_error_term(24)",Update Flutter logo image sources in README (#186195)  This updates the light and dark mode images in the README.  The C | Added name to AUTHORS (#185586)  This PR adds my name to AUTHORS as last entry.  Reference: [author:MohamedRisaldarTA](h | Sync CHANGELOG.md from stable (#185838)  This PR automates the synchronization of `CHANGELOG.md` from the `stable` branc
framework,546,45,501,0.0824,0.9176,"issue_number(44), fix_with_error_term(4), revert(2)",Drop 12.x release notes and update heading (#59987) | Update README.md (#58222) | Replace Bootcamp with Laravel Learn (#57506)
gitignore,28,3,25,0.1071,0.8929,"issue_number(2), fix_with_error_term(1)",Fix broken links to Git book. | update README (#3248) | Add period. (#3336)
go,116,62,54,0.5345,0.4655,"issue_number(61), fixes_issue(13), revert(1)","README: fix CC BY license name  Change-Id: Idf3c4427426e3cb74c7749762f2b4f621cf82dba GitHub-Last-Rev: 86f51a5d504fdb5961 | SECURITY.md: update the Reporting a Vulnerability link  The https://go.dev/security is about: ""This page provides resour | doc: normalize proposal-process links  The docs in .github & CONTRIBUTING.md have three different links to the same plac"
go-ethereum,122,97,25,0.7951,0.2049,"issue_number(93), fix_with_error_term(13), closes_issue(1)",cmd/geth: remove deprecated vulnerability check command (#33498)  This PR removes the version-check command and its asso | README: add twitter badge to documentation (#32516) | README: update broken JSON-RPC API documentation link (#31860)  I've updated the broken link to point to the current off
godot,189,17,172,0.0899,0.9101,"issue_number(11), fix_with_error_term(4), closes_issue(3)","Cleanup various repository documentation files  - Reformat logo license as a plain text file. - Fix outdated links or re | Fix various typos with codespell  Also includes the grammar fix from #76206.  Co-authored-by: Peter Anderson <BWPanda@us | Fix ""Convert Full Project"" button not translated  Also fixes a typo in the CHANGELOG."
grafana,1631,1192,439,0.7308,0.2692,"issue_number(1178), fixes_issue(32), closes_issue(25)",Release: update changelog for main (#124661)  * Update changelog  ---------  Co-authored-by: github-actions[bot] <github | Release: update changelog for main (#122910)  * Update changelog  * retrigger CI  ---------  Co-authored-by: github-acti | Release: update changelog for main (#122530)  * Update changelog  * Update changelog  * retrigger CI  ---------  Co-auth
grpc,275,108,167,0.3927,0.6073,"issue_number(100), closes_issue(17), github_pr_url(17)","Fix typos (#42398)  Fixes typos in comments, docs and strings, all around the code. Only fixed the most obvious ones ^^  | Fixed formatting of Commit Access criteria in CONTRIBUTING.md (#40916)  Reformat criteria for Commit Access and related  | Re-scope secondary licenses listed in LICENSE file (#41476)  The gRPC project is primarily covered by the Apache License"
guava,116,26,90,0.2241,0.7759,"issue_number(14), fixes_issue(11), github_issue_url(10)",Test with JDK 25 instead of JDK 21 in GitHub.  We're already testing with 25 (and (regularly but not with CI) with head  | Document how to run just one test.  (followup to https://github.com/google/guava/commit/32ee2f60b126bebc91bb091ea4872d24 | Document how to build and test Guava.  And mention that our benchmarks aren't set up well at the moment.  - Fixes https:
homebrew-cask,167,122,45,0.7305,0.2695,"issue_number(118), fix_with_error_term(5), github_pr_url(2)",wifispoof: fix macOS dependencies.  See https://github.com/Homebrew/brew/pull/22199 | fix: remove outdated commands from CONTRIBUTING.md | Clarify existing vs new tasks in PR template (#141789)  This tripped me up and I ended up skipping the style check when 
html5-boilerplate,96,42,54,0.4375,0.5625,"issue_number(38), fix_with_error_term(7), closes_issue(3)",Improve GitHub Stars badge alt text (#3409)  * Improve GitHub Stars badge alt text  * Fix: update GitHub Stars badge alt | Minor docs fixes (#3119)  - Fix release date year for recent release on CHANGELOG - Add https:// to www.robotstxt.org li | GitHub Actions Tidy-up (#3114)  - Allow CodeQL workflow to be run from GitHub Actions WebUI at any time - Set CodeQL to 
imgui,292,120,172,0.411,0.589,"issue_number(118), fix_with_error_term(5), revert(1)","Docs: update ShowUserGuide() + PR guidelines. (#9071) | Reworked issue template. (#5927, #5915) | Docs: Update templates with link to Contributing guidelines. Add numerical version number in demo. Moved. (#5337)"
ionic-framework,664,106,558,0.1596,0.8404,"issue_number(101), fix_with_error_term(10), closes_issue(7)","chore(changelog): remove duplicate fixes in wrong version | merge release-8.2.6 (#29730)  v8.2.6  ---------  Co-authored-by: ionitron <hi@ionicframework.com> | docs(readme): update broken links, repository name, clean up readme (#29508)"
java-design-patterns,481,423,58,0.8794,0.1206,"issue_number(423), fix_with_error_term(2), fixes_issue(1)",docs: add Olexandr88 as a contributor for doc (#3440)  * docs: update README.md [skip ci]  * docs: update .all-contribut | docs: Update README.md (#3298)  Co-authored-by: Ilkka Seppälä <iluwatar@users.noreply.github.com> | docs: add skamble2 as a contributor for code (#3437)  * docs: update README.md [skip ci]  * docs: update .all-contributo
jekyll,1747,1636,111,0.9365,0.0635,"issue_number(1630), revert(7), fix_with_error_term(3)",Update history to reflect merge of #9960 [ci skip] | Update history to reflect merge of #9954 [ci skip] | Update history to reflect merge of #9925 [ci skip]
jenkins,238,132,106,0.5546,0.4454,"issue_number(128), github_pr_url(4), fix_with_error_term(4)",Exchange app.gitter.im URLs with matrix.to (#26676) | Add comment in PR template about not deleting any section in the PR template (#26311)  * Add comment in PR template abou | Update contributing.md to reflect Java 25 (#26037)
jquery,67,4,63,0.0597,0.9403,"github_pr_url(1), github_issue_url(1), fix_with_error_term(1)","docs: updated the vulnerability reporting process and added escalation steps  Ref: https://github.com/openjs-foundation/ | Build: migrate most grunt tasks off of grunt  Updated tasks include:  - lint - npmcopy - build, minify, and process for  | Docs: update irc to Libera and fix LAMP dead link"
juice-shop,510,34,476,0.0667,0.9333,"issue_number(23), fix_with_error_term(10), resolves_issue(7)",Fix typo | Fix: update outdated repo references from bkimminich to juice-shop | Fix incorrect / outdates documentation links  Signed-off-by: Jannik Hollenbach <jannik@hollenbach.de>
kafka,123,123,0,1.0,0.0,"issue_number(123), closes_issue(20), fix_with_error_term(5)","MINOR: add comma before ""and"" in README (#22064)  Reviewers: Andrew Schofield <aschofield@confluent.io>, Chia-Ping Tsai  | MINOR: Fix README grammar and consistency (#21389)  This PR fixes minor grammar, capitalization, and terminology issues  | MINOR: Improve README.md formatting and consistency (#21327)  Converted indented code blocks to fenced code blocks (```b"
kubernetes,316,24,292,0.0759,0.9241,"fix_with_error_term(11), issue_number(7), github_pr_url(4)","Fixed typo  Added necessary articles | Revert ""Add link to to file""  This reverts commit 0b9399435c826b00e927454dc97a76c10e25de59.  Signed-off-by: aimuz <mr.im | Remove `kind/design` from PR template  - Remove `kind/design` from PR template in lieu of https://github.com/kubernetes/"
laravel,320,21,299,0.0656,0.9344,"issue_number(18), fix_with_error_term(3)",[12.x] Replace Bootcamp with Laravel Learn (#6692)  * Replace Bootcamp with Laravel Learn  * Revise text for Laravel Lea | update README.md (#6680) | Clean up URL formatting in README (#6601)
markdown-here,17,0,17,0.0,1.0,,
material-ui,1317,798,519,0.6059,0.3941,"issue_number(768), fix_with_error_term(49), github_pr_url(12)",Eslint markdown (#48371) | [website] Update sponsors for May (#48524) | [test] Add axe-core tests for mui-material (#48341)
metasploit-framework,111,6,105,0.0541,0.9459,"fix_with_error_term(5), issue_number(1)",Fix broken links in CONTRIBUTING.md code-free contributions section | Update communication channels in documentation  - Add GitHub Discussions and Slack as primary support channels - Update  | Fix up a typo in CONTRIBUTING.md
minimal-mistakes,775,147,628,0.1897,0.8103,"issue_number(129), closes_issue(43), fixes_issue(27)","Update CHANGELOG, history and documentation for #5439 | Catppuccin skins (#5341)  * add catppuccin latte theme based off the theme by alessdangelo found here github.com/alessda | Add support for Swetrix, a GDPR-compliant analytics provider (#5344)  * add Swetrix as an analytics providers option  * "
moby,224,25,199,0.1116,0.8884,"issue_number(16), fix_with_error_term(10), fixes_issue(1)",docs: fix remaining broken links in contributing docs  Replace two dead docs.docker.com links with correct in-repo paths | docs: fix broken docker docs links in CONTRIBUTING.md  Signed-off-by: Maksim Nikolaev <nmaks2012@yandex.ru> | Fix link anchors in CONTRIBUTING.md  This is a follow up of #35168.  Signed-off-by: Yuichiro Kaneko <spiketeika@gmail.co
mybatis-3,26,0,26,0.0,1.0,,
netty,50,31,19,0.62,0.38,"issue_number(30), fixes_issue(8), github_issue_url(2)",Add Linux Foundation Health Score badge to README (#15682)  Congrats! We have onboarded the Netty Project to LFX Insight | Merge changes from netty-incubator-codec-quic (#15658)   ---------  Co-authored-by: Mingyuan Wu <my.wu@outlook.com> Co-a | Explicit module support for HTTP/3 and QUIC codecs (#15336)  Motivation:  HTTP/3 and QUIC codecs have been added and are
nixpkgs,334,44,290,0.1317,0.8683,"issue_number(26), fix_with_error_term(9), github_pr_url(7)",CONTRIBUTING: fix anchor to staging-nixos section  Closes #457786 | linux: new workflow for kernel changes  See https://github.com/NixOS/nixpkgs/issues/437208#issuecomment-3288623669 Depen | README.md: remove NixOS Weekly (#437591)
node,1965,1960,5,0.9975,0.0025,"github_pr_url(1953), github_issue_url(261), issue_number(78)",doc: drop --experimental from --permission  Signed-off-by: RafaelGSS <rafael.nunu@hotmail.com> PR-URL: https://github.co | doc: explicitly ask for reproducible in JS  Signed-off-by: RafaelGSS <rafael.nunu@hotmail.com> PR-URL: https://github.co | doc: edit Rust toolchain general install instructions  Signed-off-by: Antoine du Hamel <duhamelantoine1995@gmail.com> PR
numpy,98,17,81,0.1735,0.8265,"issue_number(14), fixes_issue(2), fix_with_error_term(2)",MAINT: update the PR template (#30932)  We want first time contributors to introduce themselves to start to build a circ | DOC: update security policy to be more explicit about bad assumptions (#30562) | DOC: Update CONTRIBUTING.rst (#28158)  * Update CONTRIBUTING.rst  fixes #19778 Updating the contibution section so that 
nvm,85,16,69,0.1882,0.8118,"issue_number(10), fixes_issue(5), github_issue_url(4)",[readme] fix typo | v0.40.2  New Stuff  - `install.sh`: add `$ZDOTDIR` to zsh search (#3458)  Fixes  - `reinstall-packages`: do not reinstal | [readme] remove `avn` from readme  `avn` is archived ([see repo](https://github.com/direnv/direnv)) and should probably 
ohmyzsh,117,59,58,0.5043,0.4957,"issue_number(58), closes_issue(8), fix_with_error_term(5)",chore: change freeBSD to FreeBSD (#13614) | chore: add AI guidelines (#13520)  Co-authored-by: Claude <noreply@anthropic.com> | chore: update LICENSE (#13509)
opencv,36,5,31,0.1389,0.8611,"issue_number(4), fix_with_error_term(1)",ISSUE_TEMPLATE: fix typo | Merge pull request #18073 from vpisarev:apache2_license  changed OpenCV license from BSD to Apache 2 license  * as discu | Use secure URLs in README (#12160)  Saves a redirect from HTTP -> HTTPS each.  [ci skip]
openssl,124,93,31,0.75,0.25,"github_pr_url(91), issue_number(9), fix_with_error_term(8)",Doc: Add additional information to the contributing page.  Updates for new users related to PR's. Although some of this  | Add a note about commit message titles being 50-70 character in length  Requested by @levitte in #30075  Reviewed-by: Ri | Update documentation with guidelines for commit and PR messages  The CONTRIBUTING.md and PULL_REQUEST_TEMPLATE.md files 
pandas,126,120,6,0.9524,0.0476,"issue_number(120), fix_with_error_term(4), closes_issue(4)",Update link to `tzdata` documentation (#65579) | DOC: Remove references to 'good first issue' (#65138) | DOC: Add AI contribution guidelines and clarify other contribution policies (#63891)
pdf.js,68,3,65,0.0441,0.9559,"fixes_issue(2), issue_number(2), revert(1)","Don't recommend installing `gulp-cli` globally in the README and on the website  It's recommended to always install depe | Revert ""Temporarily stop listing the official Chrome extension in the main README""  This reverts commit afabbc28c52ff74f | Add Mozilla Code of Conduct file  Fixes #10691.  _(Message COC002)_"
protobuf,78,18,60,0.2308,0.7692,"issue_number(15), fix_with_error_term(3), github_pr_url(1)","Add Javascript at README.md (#10476) | Remove all autotools usage (#10132)  * Bazelfying conformance tests  Adding infrastructure to ""Bazelify"" languages other | Remove the JavaScript implementation (#9874)  This implementation is about to be split out into a separate Git repo."
qmk_firmware,160,38,122,0.2375,0.7625,"issue_number(33), fix_with_error_term(5), revert(2)",2025 Q2 changelog (#25297)  Co-authored-by: Drashna Jaelre <drashna@live.com> Co-authored-by: Nick Brassel <nick@tzarc.o | Update PR template (#24397)  Initial | Update Discord URL (#24283)
rails,135,16,119,0.1185,0.8815,"fix_with_error_term(8), issue_number(6), github_pr_url(2)","Fix typos in README, CONTRIBUTING, RELEASING_RAILS, and component docs  - CONTRIBUTING.md: remove extra ""to"" (""instead t | docs: correct ""web-application"" to ""web application"" (#56091)  “Web-application” should not be hyphenated because web ap | Trim trailing whitespace from *.md files  Fixes the error:      Run bin/check-changelogs ./rails     ............F      "
react,285,154,131,0.5404,0.4596,"issue_number(149), fix_with_error_term(16), github_issue_url(8)",Update changelog with latest releases (#35279) | Fix changelog link (#34879)  Closes https://github.com/reactjs/react.dev/issues/8081 | 19.2 changelog (#34655)  Co-authored-by: Jack Pope <jackpope1@gmail.com> Co-authored-by: Rick Hanlon <rickhanlonii@meta.
react-native,409,374,35,0.9144,0.0856,"github_pr_url(373), issue_number(315), fix_with_error_term(13)",Add changelog for v0.86.0-rc.2 (#56963)  Summary: Add Changelog for 0.86.0-rc.2  ## Changelog: [Internal] - Add Changelo | Add changelog for v0.86.0-rc.1 (#56874)  Summary: Add Changelog for 0.86.0-rc.1  ## Changelog: [Internal] - Add Changelo | Add changelog for v0.86.0-rc.0 (#56711)  Summary: Add Changelog for 0.86.0-rc.0  ## Changelog: [Internal] - Add Changelo
react-router,1065,605,460,0.5681,0.4319,"issue_number(600), fix_with_error_term(97), fixes_issue(6)",rsc: strip server route exports from optimizeDeps scan (#15005) | docs(how-to/data-strategy): fix broken links (#15111) | Release v7.16.0 (#15105)  Co-authored-by: Remix Run Bot <hello@remix.run>
redis,97,49,48,0.5052,0.4948,"issue_number(47), fix_with_error_term(8), github_pr_url(1)","Remove handle-werrors target from modules/Makefile (#15257) | Added Array, rename RQE to Search (#15186) | Update SECURITY.md vulnerability reporting instructions (#15089)  Made-with: Cursor  <!-- CURSOR_SUMMARY --> ---  > [!NO"
reveal.js,179,37,142,0.2067,0.7933,"issue_number(34), closes_issue(7), fix_with_error_term(3)","print styles are now built into reveal.css, revamped print styles #2633 | tweaks and updated docs for #2627 | fix typo in configuration example"
rust,3312,291,3021,0.0879,0.9121,"issue_number(176), fix_with_error_term(78), fixes_issue(47)",Fix typo in Rustdoc release notes | Fix typo for danging_ptr  Co-authored-by: Josh Stone <cuviper@gmail.com> | Update CHANGELOG for v1.9.0 release (#6811)
scikit-learn,204,187,17,0.9167,0.0833,"issue_number(187), fix_with_error_term(4), references_issue(1)",DOC Use a list instead of a checklist for AI disclosure (#34062) | MNT Bump min dependencies for 1.9 (#33984) | ENH add narwhals as dependency (#31127)  Co-authored-by: Marco Gorelli <33491632+MarcoGorelli@users.noreply.github.com>
scrapy,57,29,28,0.5088,0.4912,"issue_number(29), fix_with_error_term(1)",Fix small documentation wording issues (#7480) | Add a template for PRs (#7381) | Remove Python 3.9 support (#7121)
shadowsocks-android,97,14,83,0.1443,0.8557,"issue_number(14), fixes_issue(9)",Switch to local UDP DNS resolver (#2635)  * Switch to the local UDP DNS resolver  * Update shadowsocks-rust  * Revert th | Update shadowsocks-rust to 1.9.0 (#2622) | Clarifying instruction documents (#2213)  * Update README.md  * Update CONTRIBUTING.md  * Update CONTRIBUTING.md  * Upda
shadowsocks-windows,38,3,35,0.0789,0.9211,issue_number(3),Add instruction for set the Win10 Store  #2480 #1004 | Fix link to GFWList (#793)  Thanks to @jiangzhuo | Multiple instances of ss_privoxy (#665)  * Use job object to manage polipo service's external processes.  Signed-off-by:
