project_name,repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts
react-native,react-native,2020-06-30,2025-06-29,0.500,no,no,17069,221,52,0.163462,0.336538,0.456731,0.673077,6,18,210,46,0.172589,0.345178,0.472081,0.695431,6,16,6,6,0.166667,0.500000,0.833333,1.000000,3,5,5,5,0.200000,0.600000,1.000000,1.000000,3,4,True,221,221
pdf.js,pdf.js,2020-06-30,2025-06-29,0.500,no,no,4691,29,10,0.482759,0.724138,0.827586,1.000000,2,5,25,10,0.440000,0.680000,0.800000,1.000000,2,5,0,0,,,,,,,4,2,0.750000,1.000000,1.000000,1.000000,1,2,True,29,29
DefinitelyTyped,DefinitelyTyped,2020-06-30,2025-06-29,0.500,no,no,19754,123,50,0.195122,0.479675,0.560976,0.658537,4,26,108,48,0.185185,0.453704,0.546296,0.648148,4,27,9,5,0.333333,0.777778,1.000000,1.000000,2,4,6,6,0.166667,0.500000,0.833333,1.000000,3,5,True,123,123
Python,Python,2020-06-30,2025-06-29,0.500,no,no,1767,42,34,0.095238,0.261905,0.309524,0.428571,13,26,41,33,0.097561,0.268293,0.317073,0.439024,13,25,1,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,True,42,42
grpc,grpc,2020-06-30,2025-06-29,0.500,no,no,10265,160,44,0.181250,0.418750,0.593750,0.743750,4,15,129,31,0.193798,0.457364,0.666667,0.813953,4,10,4,4,0.250000,0.750000,1.000000,1.000000,2,4,27,18,0.148148,0.333333,0.481481,0.703704,6,13,True,160,160
framework,framework,2020-06-30,2025-06-29,0.500,no,no,9924,402,24,0.296020,0.793532,0.910448,0.965174,2,4,393,22,0.302799,0.811705,0.923664,0.969466,2,3,3,2,0.666667,1.000000,1.000000,1.000000,1,2,6,4,0.500000,0.833333,1.000000,1.000000,1,3,True,402,402
guava,guava,2020-06-30,2025-06-29,0.500,no,no,1647,48,9,0.765957,0.872340,0.914894,1.000000,1,2,15,6,0.600000,0.800000,0.933333,1.000000,1,3,24,2,0.958333,1.000000,1.000000,1.000000,1,1,9,4,0.500000,0.875000,1.000000,1.000000,1,3,True,48,48
flink,flink,2020-06-30,2025-06-29,0.500,no,no,14042,32,24,0.156250,0.281250,0.406250,0.562500,8,18,18,15,0.111111,0.333333,0.444444,0.722222,6,12,3,2,0.666667,1.000000,1.000000,1.000000,1,2,11,9,0.181818,0.454545,0.636364,1.000000,4,7,True,32,32
minimal-mistakes,minimal-mistakes,2020-06-30,2025-06-29,0.500,no,no,389,204,10,0.490196,0.960784,0.975490,1.000000,2,2,152,7,0.592105,0.973684,0.986842,1.000000,1,2,26,6,0.769231,0.884615,0.961538,1.000000,1,2,26,2,0.692308,1.000000,1.000000,1.000000,1,2,True,204,204
redis,redis,2020-06-30,2025-06-29,0.500,no,no,3175,68,30,0.352941,0.485294,0.573529,0.705882,4,17,51,23,0.450980,0.549020,0.627451,0.745098,2,13,8,7,0.250000,0.500000,0.750000,1.000000,3,6,9,7,0.222222,0.555556,0.777778,1.000000,3,6,True,68,68
ardupilot,ardupilot,2020-06-30,2025-06-29,0.500,no,no,25456,28,22,0.142857,0.285714,0.392857,0.571429,8,17,25,20,0.160000,0.320000,0.400000,0.600000,8,15,1,1,1.000000,1.000000,1.000000,1.000000,1,1,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,28,28
material-ui,material-ui,2020-06-30,2025-06-29,0.500,no,no,12753,586,67,0.343053,0.548885,0.650086,0.821612,3,10,310,62,0.496774,0.577419,0.645161,0.783871,2,12,176,15,0.211429,0.497143,0.691429,0.960000,4,7,100,14,0.224490,0.591837,0.744898,0.948980,3,6,True,586,586
mybatis-3,mybatis-3,2020-06-30,2025-06-29,0.500,no,no,1340,16,5,0.625000,0.875000,1.000000,1.000000,1,2,14,5,0.571429,0.857143,1.000000,1.000000,1,3,2,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,True,16,16
ionic-framework,ionic-framework,2020-06-30,2025-06-29,0.500,no,no,3200,340,14,0.489933,0.852349,0.926174,0.986577,2,3,49,12,0.448980,0.673469,0.816327,0.959184,2,5,23,4,0.565217,0.956522,1.000000,1.000000,1,3,268,8,0.646018,0.951327,0.982301,1.000000,1,2,True,340,340
imgui,imgui,2020-06-30,2025-06-29,0.500,no,no,3319,13,3,0.692308,1.000000,1.000000,1.000000,1,2,12,3,0.666667,1.000000,1.000000,1.000000,1,2,0,0,,,,,,,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,13,13
TypeScript,TypeScript,2020-06-30,2025-06-29,0.500,no,no,5549,40,26,0.250000,0.400000,0.475000,0.600000,6,18,31,23,0.193548,0.354839,0.419355,0.580645,8,17,1,1,1.000000,1.000000,1.000000,1.000000,1,1,8,6,0.375000,0.625000,0.875000,1.000000,2,5,True,40,40
odoo,odoo,2020-06-30,2025-06-29,0.500,no,no,47931,15,11,0.200000,0.466667,0.600000,0.933333,4,8,15,11,0.200000,0.466667,0.600000,0.933333,4,8,0,0,,,,,,,0,0,,,,,,,True,15,15
rust,rust,2020-06-30,2025-06-29,0.500,no,no,100158,1772,448,0.055809,0.146355,0.218679,0.355923,20,135,1412,406,0.054726,0.142857,0.208955,0.324094,26,142,75,31,0.213333,0.453333,0.560000,0.706667,4,16,285,66,0.237226,0.485401,0.616788,0.744526,4,17,True,1772,1772
animate.css,animate.css,2020-06-30,2025-06-29,0.500,no,no,173,13,7,0.307692,0.692308,0.846154,1.000000,2,5,10,6,0.400000,0.700000,0.900000,1.000000,2,4,1,1,1.000000,1.000000,1.000000,1.000000,1,1,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,13,13
jquery,jquery,2020-06-30,2025-06-29,0.500,no,no,265,26,4,0.500000,0.961538,1.000000,1.000000,1,2,16,4,0.500000,0.937500,1.000000,1.000000,1,3,3,1,1.000000,1.000000,1.000000,1.000000,1,1,7,2,0.714286,1.000000,1.000000,1.000000,1,2,True,26,26
Vue-core,Vue-core,2020-06-30,2025-06-29,0.500,no,no,4448,320,42,0.726415,0.858491,0.877358,0.899371,1,2,88,41,0.454545,0.545455,0.590909,0.647727,2,24,164,4,0.791411,0.993865,1.000000,1.000000,1,2,68,4,0.925373,0.985075,1.000000,1.000000,1,1,True,320,320
lantern,lantern,2020-06-30,2025-06-29,0.500,no,no,538,32,4,0.500000,0.968750,1.000000,1.000000,1,2,23,4,0.478261,0.956522,1.000000,1.000000,2,2,3,1,1.000000,1.000000,1.000000,1.000000,1,1,6,3,0.666667,1.000000,1.000000,1.000000,1,2,True,32,32
three.js,three.js,2020-06-30,2025-06-29,0.500,no,no,10614,64,16,0.407407,0.666667,0.796296,0.888889,2,6,57,15,0.408163,0.693878,0.795918,0.897959,2,6,3,1,1.000000,1.000000,1.000000,1.000000,1,1,4,2,0.666667,1.000000,1.000000,1.000000,1,2,True,64,64
angular,angular,2020-06-30,2025-06-29,0.500,no,no,14945,697,73,0.144462,0.401284,0.577849,0.800963,5,10,509,67,0.148796,0.393873,0.566740,0.778993,5,11,172,20,0.177632,0.460526,0.664474,0.894737,4,8,16,7,0.500000,0.714286,0.857143,1.000000,1,5,True,697,697
grafana,grafana,2020-06-30,2025-06-29,0.500,no,no,34604,501,75,0.555901,0.605590,0.642857,0.717391,1,20,467,66,0.618056,0.663194,0.697917,0.756944,1,15,20,16,0.150000,0.350000,0.450000,0.700000,6,12,14,12,0.142857,0.357143,0.500000,0.857143,5,10,True,501,501
netty,netty,2020-06-30,2025-06-29,0.500,no,no,3682,38,10,0.514286,0.685714,0.800000,1.000000,1,5,27,8,0.583333,0.791667,0.875000,1.000000,1,4,2,2,0.500000,1.000000,1.000000,1.000000,1,2,9,5,0.333333,0.777778,1.000000,1.000000,2,4,True,38,38
scrapy,scrapy,2020-06-30,2025-06-29,0.500,no,no,1911,51,18,0.294118,0.627451,0.705882,0.843137,2,8,20,9,0.450000,0.650000,0.800000,1.000000,2,5,5,4,0.400000,0.800000,1.000000,1.000000,2,3,26,10,0.346154,0.653846,0.807692,1.000000,2,5,True,51,51
numpy,numpy,2020-06-30,2025-06-29,0.500,no,no,11158,55,35,0.127273,0.290909,0.400000,0.545455,8,24,53,34,0.132075,0.301887,0.396226,0.547170,8,24,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,55,55
Ghost,Ghost,2020-06-30,2025-06-29,0.500,no,no,24317,53,12,0.404255,0.744681,0.851064,0.957447,2,4,51,11,0.422222,0.755556,0.866667,0.977778,2,4,2,2,0.500000,1.000000,1.000000,1.000000,1,2,0,0,,,,,,,True,53,53
ansible,ansible,2020-06-30,2025-06-29,0.500,no,no,4797,19,12,0.133333,0.400000,0.533333,0.866667,5,9,17,11,0.153846,0.384615,0.538462,0.923077,5,9,0,0,,,,,,,2,1,1.000000,1.000000,1.000000,1.000000,1,1,True,19,19
bitcoin,bitcoin,2020-06-30,2025-06-29,0.500,no,no,13948,66,18,0.263158,0.649123,0.754386,0.859649,3,7,34,13,0.310345,0.620690,0.724138,0.896552,2,8,9,6,0.285714,0.571429,0.857143,1.000000,3,5,23,5,0.476190,0.904762,1.000000,1.000000,2,2,True,66,66
airflow,airflow,2020-06-30,2025-06-29,0.500,no,no,22156,568,81,0.278195,0.533835,0.629073,0.726817,3,17,263,57,0.254438,0.497041,0.573964,0.680473,4,24,100,26,0.257143,0.471429,0.614286,0.771429,4,12,205,26,0.412500,0.656250,0.825000,0.900000,2,5,True,568,568
FreeRDP,FreeRDP,2020-06-30,2025-06-29,0.500,no,no,6239,53,7,0.603774,0.905660,0.962264,1.000000,1,2,50,7,0.600000,0.900000,0.960000,1.000000,1,2,1,1,1.000000,1.000000,1.000000,1.000000,1,1,2,1,1.000000,1.000000,1.000000,1.000000,1,1,True,53,53
todomvc,todomvc,2020-06-30,2025-06-29,0.500,no,no,45,3,2,0.666667,1.000000,1.000000,1.000000,1,2,0,0,,,,,,,1,1,1.000000,1.000000,1.000000,1.000000,1,1,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,3,3
nixpkgs,nixpkgs,2020-06-30,2025-06-29,0.500,no,no,367953,165,71,0.225806,0.309677,0.361290,0.470968,12,40,150,66,0.211268,0.302817,0.359155,0.471831,12,38,8,5,0.333333,0.666667,1.000000,1.000000,2,4,7,5,0.428571,0.714286,1.000000,1.000000,2,4,True,165,165
markdown-here,markdown-here,2020-06-30,2025-06-29,0.500,no,no,29,7,2,0.857143,1.000000,1.000000,1.000000,1,1,4,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,3,2,0.666667,1.000000,1.000000,1.000000,1,2,True,7,7
flutter,flutter,2020-06-30,2025-06-29,0.500,no,no,52524,166,110,0.108434,0.180723,0.234940,0.331325,27,77,160,107,0.112500,0.187500,0.243750,0.331250,27,75,5,4,0.400000,0.800000,1.000000,1.000000,2,3,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,166,166
go-ethereum,go-ethereum,2020-06-30,2025-06-29,0.500,no,no,4074,53,22,0.135135,0.324324,0.486486,0.675676,6,15,43,20,0.107143,0.321429,0.464286,0.642857,6,15,7,3,0.666667,1.000000,1.000000,1.000000,1,2,3,1,1.000000,1.000000,1.000000,1.000000,1,1,True,53,53
opencv,opencv,2020-06-30,2025-06-29,0.500,no,no,3911,17,10,0.235294,0.529412,0.705882,1.000000,3,7,15,9,0.200000,0.533333,0.733333,1.000000,3,6,2,2,0.500000,1.000000,1.000000,1.000000,1,2,0,0,,,,,,,True,17,17
socket.io,socket.io,2020-06-30,2025-06-29,0.500,no,no,1243,349,28,0.922414,0.928161,0.933908,0.948276,1,1,113,24,0.796460,0.814159,0.831858,0.876106,1,2,70,3,0.971429,1.000000,1.000000,1.000000,1,1,166,3,0.987879,1.000000,1.000000,1.000000,1,1,True,349,349
shadowsocks-android,shadowsocks-android,2020-06-30,2025-06-29,0.500,no,no,251,9,2,0.555556,1.000000,1.000000,1.000000,1,2,5,2,0.800000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,3,2,0.666667,1.000000,1.000000,1.000000,1,2,True,9,9
spring-framework,spring-framework,2020-06-30,2025-06-29,0.500,no,no,9878,35,18,0.142857,0.371429,0.542857,0.771429,5,11,28,16,0.142857,0.357143,0.535714,0.785714,5,11,2,2,0.500000,1.000000,1.000000,1.000000,1,2,5,3,0.400000,1.000000,1.000000,1.000000,2,2,True,35,35
erpnext,erpnext,2020-06-30,2025-06-29,0.500,no,no,15017,42,18,0.333333,0.571429,0.666667,0.809524,2,10,40,18,0.350000,0.550000,0.650000,0.800000,3,10,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,42,42
ohmyzsh,ohmyzsh,2020-06-30,2025-06-29,0.500,no,no,1823,55,26,0.163636,0.400000,0.581818,0.709091,5,15,42,21,0.190476,0.428571,0.571429,0.738095,4,13,10,7,0.300000,0.600000,0.800000,1.000000,2,5,3,3,0.333333,1.000000,1.000000,1.000000,2,3,True,55,55
kafka,kafka,2020-06-30,2025-06-29,0.500,no,no,8255,69,34,0.246377,0.405797,0.521739,0.652174,5,21,37,26,0.162162,0.297297,0.405405,0.567568,8,19,15,10,0.266667,0.533333,0.666667,1.000000,3,7,17,7,0.411765,0.705882,0.882353,1.000000,2,4,True,69,69
d3,d3,2020-06-30,2025-06-29,0.500,no,no,288,13,3,0.769231,1.000000,1.000000,1.000000,1,2,9,3,0.777778,1.000000,1.000000,1.000000,1,2,1,1,1.000000,1.000000,1.000000,1.000000,1,1,3,1,1.000000,1.000000,1.000000,1.000000,1,1,True,13,13
Rocket.Chat,Rocket.Chat,2020-06-30,2025-06-29,0.500,no,no,8732,390,42,0.602564,0.723077,0.810256,0.907692,1,5,43,34,0.093023,0.232558,0.325581,0.441860,13,26,17,6,0.705882,0.823529,0.941176,1.000000,1,3,330,9,0.672727,0.815152,0.912121,1.000000,1,3,True,390,390
azure-quickstart-templates,azure-quickstart-templates,2020-06-30,2025-06-29,0.500,no,no,10036,5,3,0.500000,1.000000,1.000000,1.000000,1,3,4,3,0.333333,1.000000,1.000000,1.000000,2,3,0,0,,,,,,,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,5,5
moby,moby,2020-06-30,2025-06-29,0.500,no,no,7489,66,19,0.469697,0.651515,0.772727,0.863636,2,6,51,17,0.450980,0.666667,0.764706,0.862745,2,7,15,6,0.533333,0.800000,0.933333,1.000000,1,3,0,0,,,,,,,True,66,66
etcd,etcd,2020-06-30,2025-06-29,0.500,no,no,4230,105,46,0.257143,0.409524,0.504762,0.647619,5,25,87,40,0.218391,0.390805,0.482759,0.643678,6,23,11,7,0.454545,0.636364,0.818182,1.000000,2,5,7,5,0.428571,0.714286,1.000000,1.000000,2,4,True,105,105
homebrew-cask,homebrew-cask,2020-06-30,2025-06-29,0.500,no,no,145553,40,14,0.222222,0.481481,0.666667,0.851852,4,9,33,12,0.260870,0.565217,0.695652,0.913043,3,8,7,2,0.750000,1.000000,1.000000,1.000000,1,2,0,0,,,,,,,True,40,40
html5-boilerplate,html5-boilerplate,2020-06-30,2025-06-29,0.500,no,no,486,42,14,0.410256,0.717949,0.769231,0.897436,2,7,27,12,0.407407,0.666667,0.740741,0.925926,2,7,9,3,0.500000,1.000000,1.000000,1.000000,1,2,6,3,0.500000,1.000000,1.000000,1.000000,1,2,True,42,42
youtube-dl,youtube-dl,2020-06-30,2025-06-29,0.500,no,no,1215,104,10,0.884615,0.932692,0.951923,1.000000,1,1,102,9,0.892157,0.941176,0.960784,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,104,104
java-design-patterns,java-design-patterns,2020-06-30,2025-06-29,0.500,no,no,1799,462,27,0.285714,0.428571,0.476190,0.595238,6,19,65,19,0.354839,0.483871,0.548387,0.709677,4,13,392,6,0.166667,0.500000,0.833333,1.000000,3,5,5,5,0.200000,0.600000,1.000000,1.000000,3,4,True,462,462
symfony,symfony,2020-06-30,2025-06-29,0.500,no,no,11504,173,35,0.610778,0.772455,0.796407,0.850299,1,6,140,21,0.693431,0.832117,0.861314,0.919708,1,2,1,1,1.000000,1.000000,1.000000,1.000000,1,1,32,18,0.241379,0.482759,0.551724,0.724138,4,13,True,173,173
dubbo,dubbo,2020-06-30,2025-06-29,0.500,no,no,3859,51,24,0.235294,0.549020,0.627451,0.725490,3,14,35,19,0.257143,0.514286,0.600000,0.742857,3,12,5,3,0.600000,1.000000,1.000000,1.000000,1,2,11,8,0.272727,0.545455,0.727273,1.000000,3,6,True,51,51
jenkins,jenkins,2020-06-30,2025-06-29,0.500,no,no,6105,59,19,0.237288,0.508475,0.644068,0.830508,3,10,49,17,0.265306,0.489796,0.632653,0.857143,4,9,2,1,1.000000,1.000000,1.000000,1.000000,1,1,8,6,0.250000,0.625000,0.875000,1.000000,2,5,True,59,59
node,node,2020-06-30,2025-06-29,0.500,no,no,13555,988,178,0.191991,0.362780,0.474676,0.592462,6,44,791,162,0.114706,0.314706,0.442647,0.579412,7,45,170,39,0.598592,0.676056,0.718310,0.795775,1,11,27,20,0.148148,0.333333,0.444444,0.629630,7,15,True,988,988
kubernetes,kubernetes,2020-06-30,2025-06-29,0.500,no,no,23233,21,19,0.095238,0.238095,0.333333,0.571429,9,15,19,17,0.105263,0.263158,0.368421,0.631579,8,14,0,0,,,,,,,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,21,21
qmk_firmware,qmk_firmware,2020-06-30,2025-06-29,0.500,no,no,10609,43,8,0.627907,0.883721,0.930233,1.000000,1,3,40,6,0.675000,0.925000,0.975000,1.000000,1,2,1,1,1.000000,1.000000,1.000000,1.000000,1,1,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,43,43
darknet,darknet,2020-06-30,2025-06-29,0.500,no,no,16,15,1,1.000000,1.000000,1.000000,1.000000,1,1,15,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,0,0,,,,,,,True,15,15
HanLP,HanLP,2020-06-30,2025-06-29,0.500,no,no,466,44,2,0.954545,1.000000,1.000000,1.000000,1,1,43,2,0.953488,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,44,44
electron,electron,2020-06-30,2025-06-29,0.500,no,no,5713,44,16,0.236842,0.500000,0.657895,0.842105,3,9,38,14,0.218750,0.531250,0.656250,0.875000,3,8,3,3,0.333333,1.000000,1.000000,1.000000,2,3,3,3,0.333333,1.000000,1.000000,1.000000,2,3,True,44,44
openssl,openssl,2020-06-30,2025-06-29,0.500,no,no,11026,51,29,0.215686,0.352941,0.470588,0.627451,6,19,33,20,0.242424,0.393939,0.515152,0.696970,5,14,5,5,0.200000,0.600000,1.000000,1.000000,3,4,13,9,0.230769,0.538462,0.692308,1.000000,3,7,True,51,51
data,data,2020-06-30,2025-06-29,0.500,no,no,234,4,2,0.750000,1.000000,1.000000,1.000000,1,2,2,2,0.500000,1.000000,1.000000,1.000000,1,2,0,0,,,,,,,2,1,1.000000,1.000000,1.000000,1.000000,1,1,True,4,4
echarts,echarts,2020-06-30,2025-06-29,0.500,no,no,2683,30,9,0.357143,0.785714,0.857143,1.000000,2,4,23,8,0.285714,0.761905,0.857143,1.000000,2,4,5,3,0.600000,1.000000,1.000000,1.000000,1,2,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,30,30
reveal.js,reveal.js,2020-06-30,2025-06-29,0.500,no,no,411,24,5,0.833333,0.916667,1.000000,1.000000,1,1,15,1,1.000000,1.000000,1.000000,1.000000,1,1,3,1,1.000000,1.000000,1.000000,1.000000,1,1,6,5,0.333333,0.666667,1.000000,1.000000,2,4,True,24,24
AspNetCore.Docs,AspNetCore.Docs,2020-06-30,2025-06-29,0.500,no,no,7415,25,14,0.240000,0.520000,0.640000,0.840000,3,9,21,13,0.238095,0.523810,0.619048,0.857143,3,9,0,0,,,,,,,4,3,0.500000,1.000000,1.000000,1.000000,1,3,True,25,25
django,django,2020-06-30,2025-06-29,0.500,no,no,5132,172,162,0.029070,0.052326,0.075581,0.116279,76,128,169,161,0.023669,0.047337,0.071006,0.106509,77,128,2,2,0.500000,1.000000,1.000000,1.000000,1,2,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,172,172
shadowsocks-windows,shadowsocks-windows,2020-06-30,2025-06-29,0.500,no,no,78,4,3,0.500000,1.000000,1.000000,1.000000,1,3,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,4,4
react,react,2020-06-30,2025-06-29,0.500,no,no,7207,67,40,0.149254,0.358209,0.462687,0.552239,7,27,63,39,0.142857,0.349206,0.444444,0.539683,8,27,2,2,0.500000,1.000000,1.000000,1.000000,1,2,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,67,67
axios,axios,2020-06-30,2025-06-29,0.500,no,no,716,226,83,0.354430,0.468354,0.500000,0.537975,5,52,144,73,0.285714,0.378151,0.420168,0.470588,14,50,15,7,0.533333,0.733333,0.866667,1.000000,1,4,67,7,0.583333,0.833333,0.916667,1.000000,1,3,True,226,226
